#?PETBL/1.0 SOURCE
#?o name="cp20932-ms-2001"
#?o ucm:code_set_alias="cp20932-ms	ms20932	windows20932	windows-20932"
## Source: WindowsNT/5.01.2600 (Service Pack 1) (Windows XP) (586) MSIE/6.0.2800.1106
#?o license="Public Domain"
0x4B	U+004B		# LATIN CAPITAL LETTER K
0x4C	U+004C		# LATIN CAPITAL LETTER L
0x4D	U+004D		# LATIN CAPITAL LETTER M
0x4E	U+004E		# LATIN CAPITAL LETTER N
0x4F	U+004F		# LATIN CAPITAL LETTER O
0x50	U+0050		# LATIN CAPITAL LETTER P
0x51	U+0051		# LATIN CAPITAL LETTER Q
0x52	U+0052		# LATIN CAPITAL LETTER R
0x53	U+0053		# LATIN CAPITAL LETTER S
0x54	U+0054		# LATIN CAPITAL LETTER T
0x55	U+0055		# LATIN CAPITAL LETTER U
0x56	U+0056		# LATIN CAPITAL LETTER V
0x57	U+0057		# LATIN CAPITAL LETTER W
0x58	U+0058		# LATIN CAPITAL LETTER X
0x59	U+0059		# LATIN CAPITAL LETTER Y
0x5A	U+005A		# LATIN CAPITAL LETTER Z
0x5B	U+005B		# LEFT SQUARE BRACKET
0x5C	U+005C		# REVERSE SOLIDUS
0x5D	U+005D		# RIGHT SQUARE BRACKET
0x5E	U+005E		# CIRCUMFLEX ACCENT
0x5F	U+005F		# LOW LINE
0x60	U+0060		# GRAVE ACCENT
0x61	U+0061		# LATIN SMALL LETTER A
0x62	U+0062		# LATIN SMALL LETTER B
0x63	U+0063		# LATIN SMALL LETTER C
0x64	U+0064		# LATIN SMALL LETTER D
0x65	U+0065		# LATIN SMALL LETTER E
0x66	U+0066		# LATIN SMALL LETTER F
0x67	U+0067		# LATIN SMALL LETTER G
0x68	U+0068		# LATIN SMALL LETTER H
0x69	U+0069		# LATIN SMALL LETTER I
0x6A	U+006A		# LATIN SMALL LETTER J
0x6B	U+006B		# LATIN SMALL LETTER K
0x6C	U+006C		# LATIN SMALL LETTER L
0x6D	U+006D		# LATIN SMALL LETTER M
0x6E	U+006E		# LATIN SMALL LETTER N
0x6F	U+006F		# LATIN SMALL LETTER O
0x70	U+0070		# LATIN SMALL LETTER P
0x71	U+0071		# LATIN SMALL LETTER Q
0x72	U+0072		# LATIN SMALL LETTER R
0x73	U+0073		# LATIN SMALL LETTER S
0x74	U+0074		# LATIN SMALL LETTER T
0x75	U+0075		# LATIN SMALL LETTER U
0x76	U+0076		# LATIN SMALL LETTER V
0x77	U+0077		# LATIN SMALL LETTER W
0x78	U+0078		# LATIN SMALL LETTER X
0x79	U+0079		# LATIN SMALL LETTER Y
0x7A	U+007A		# LATIN SMALL LETTER Z
0x7B	U+007B		# LEFT CURLY BRACKET
0x7C	U+007C		# VERTICAL LINE
0x7D	U+007D		# RIGHT CURLY BRACKET
0x7E	U+007E		# TILDE
0x7F	U+007F		# <control>
0x80	U+0080	->	# <control>
0x81	U+0081	->	# <control>
0x82	U+0082	->	# <control>
0x83	U+0083	->	# <control>
0x84	U+0084	->	# <control>
0x85	U+0085	->	# <control>
0x86	U+0086	->	# <control>
0x87	U+0087	->	# <control>
0x88	U+0088	->	# <control>
0x89	U+0089	->	# <control>
0x8A	U+008A	->	# <control>
0x8B	U+008B	->	# <control>
0x8C	U+008C	->	# <control>
0x8D	U+008D	->	# <control>
0x8EA1	U+FF61		# HALFWIDTH IDEOGRAPHIC FULL STOP
0x8EA2	U+FF62		# HALFWIDTH LEFT CORNER BRACKET
0x8EA3	U+FF63		# HALFWIDTH RIGHT CORNER BRACKET
0x8EA4	U+FF64		# HALFWIDTH IDEOGRAPHIC COMMA
0x8EA5	U+FF65		# HALFWIDTH KATAKANA MIDDLE DOT
0x8EA6	U+FF66		# HALFWIDTH KATAKANA LETTER WO
0x8EA7	U+FF67		# HALFWIDTH KATAKANA LETTER SMALL A
0x8EA8	U+FF68		# HALFWIDTH KATAKANA LETTER SMALL I
0x8EA9	U+FF69		# HALFWIDTH KATAKANA LETTER SMALL U
0x8EAA	U+FF6A		# HALFWIDTH KATAKANA LETTER SMALL E
0x8EAB	U+FF6B		# HALFWIDTH KATAKANA LETTER SMALL O
0x8EAC	U+FF6C		# HALFWIDTH KATAKANA LETTER SMALL YA
0x8EAD	U+FF6D		# HALFWIDTH KATAKANA LETTER SMALL YU
0x8EAE	U+FF6E		# HALFWIDTH KATAKANA LETTER SMALL YO
0x8EAF	U+FF6F		# HALFWIDTH KATAKANA LETTER SMALL TU
0x8EB0	U+FF70		# HALFWIDTH KATAKANA-HIRAGANA PROLONGED SOUND MARK
0x8EB1	U+FF71		# HALFWIDTH KATAKANA LETTER A
0x8EB2	U+FF72		# HALFWIDTH KATAKANA LETTER I
0x8EB3	U+FF73		# HALFWIDTH KATAKANA LETTER U
0x8EB4	U+FF74		# HALFWIDTH KATAKANA LETTER E
0x8EB5	U+FF75		# HALFWIDTH KATAKANA LETTER O
0x8EB6	U+FF76		# HALFWIDTH KATAKANA LETTER KA
0x8EB7	U+FF77		# HALFWIDTH KATAKANA LETTER KI
0x8EB8	U+FF78		# HALFWIDTH KATAKANA LETTER KU
0x8EB9	U+FF79		# HALFWIDTH KATAKANA LETTER KE
0x8EBA	U+FF7A		# HALFWIDTH KATAKANA LETTER KO
0x8EBB	U+FF7B		# HALFWIDTH KATAKANA LETTER SA
0x8EBC	U+FF7C		# HALFWIDTH KATAKANA LETTER SI
0x8EBD	U+FF7D		# HALFWIDTH KATAKANA LETTER SU
0x8EBE	U+FF7E		# HALFWIDTH KATAKANA LETTER SE
0x8EBF	U+FF7F		# HALFWIDTH KATAKANA LETTER SO
0x8EC0	U+FF80		# HALFWIDTH KATAKANA LETTER TA
0x8EC1	U+FF81		# HALFWIDTH KATAKANA LETTER TI
0x8EC2	U+FF82		# HALFWIDTH KATAKANA LETTER TU
0x8EC3	U+FF83		# HALFWIDTH KATAKANA LETTER TE
0x8EC4	U+FF84		# HALFWIDTH KATAKANA LETTER TO
0x8EC5	U+FF85		# HALFWIDTH KATAKANA LETTER NA
0x8EC6	U+FF86		# HALFWIDTH KATAKANA LETTER NI
0x8EC7	U+FF87		# HALFWIDTH KATAKANA LETTER NU
0x8EC8	U+FF88		# HALFWIDTH KATAKANA LETTER NE
0x8EC9	U+FF89		# HALFWIDTH KATAKANA LETTER NO
0x8ECA	U+FF8A		# HALFWIDTH KATAKANA LETTER HA
0x8ECB	U+FF8B		# HALFWIDTH KATAKANA LETTER HI
0x8ECC	U+FF8C		# HALFWIDTH KATAKANA LETTER HU
0x8ECD	U+FF8D		# HALFWIDTH KATAKANA LETTER HE
0x8ECE	U+FF8E		# HALFWIDTH KATAKANA LETTER HO
0x8ECF	U+FF8F		# HALFWIDTH KATAKANA LETTER MA
0x8ED0	U+FF90		# HALFWIDTH KATAKANA LETTER MI
0x8ED1	U+FF91		# HALFWIDTH KATAKANA LETTER MU
0x8ED2	U+FF92		# HALFWIDTH KATAKANA LETTER ME
0x8ED3	U+FF93		# HALFWIDTH KATAKANA LETTER MO
0x8ED4	U+FF94		# HALFWIDTH KATAKANA LETTER YA
0x8ED5	U+FF95		# HALFWIDTH KATAKANA LETTER YU
0x8ED6	U+FF96		# HALFWIDTH KATAKANA LETTER YO
0x8ED7	U+FF97		# HALFWIDTH KATAKANA LETTER RA
0x8ED8	U+FF98		# HALFWIDTH KATAKANA LETTER RI
0x8ED9	U+FF99		# HALFWIDTH KATAKANA LETTER RU
0x8EDA	U+FF9A		# HALFWIDTH KATAKANA LETTER RE
0x8EDB	U+FF9B		# HALFWIDTH KATAKANA LETTER RO
0x8EDC	U+FF9C		# HALFWIDTH KATAKANA LETTER WA
0x8EDD	U+FF9D		# HALFWIDTH KATAKANA LETTER N
0x8EDE	U+FF9E		# HALFWIDTH KATAKANA VOICED SOUND MARK
0x8EDF	U+FF9F		# HALFWIDTH KATAKANA SEMI-VOICED SOUND MARK
0x8EE0	U+30FB	->	# KATAKANA MIDDLE DOT
0x8EE1	U+30FB	->	# KATAKANA MIDDLE DOT
0x8EE2	U+30FB	->	# KATAKANA MIDDLE DOT
0x8EE3	U+30FB	->	# KATAKANA MIDDLE DOT
0x8EE4	U+30FB	->	# KATAKANA MIDDLE DOT
0x8EE5	U+30FB	->	# KATAKANA MIDDLE DOT
0x8EE6	U+30FB	->	# KATAKANA MIDDLE DOT
0x8EE7	U+30FB	->	# KATAKANA MIDDLE DOT
0x8EE8	U+30FB	->	# KATAKANA MIDDLE DOT
0x8EE9	U+30FB	->	# KATAKANA MIDDLE DOT
0x8EEA	U+30FB	->	# KATAKANA MIDDLE DOT
0x8EEB	U+30FB	->	# KATAKANA MIDDLE DOT
0x8EEC	U+30FB	->	# KATAKANA MIDDLE DOT
0x8EED	U+30FB	->	# KATAKANA MIDDLE DOT
0x8EEE	U+30FB	->	# KATAKANA MIDDLE DOT
0x8EEF	U+30FB	->	# KATAKANA MIDDLE DOT
0x8EF0	U+30FB	->	# KATAKANA MIDDLE DOT
0x8EF1	U+30FB	->	# KATAKANA MIDDLE DOT
0x8EF2	U+30FB	->	# KATAKANA MIDDLE DOT
0x8EF3	U+30FB	->	# KATAKANA MIDDLE DOT
0x8EF4	U+30FB	->	# KATAKANA MIDDLE DOT
0x8EF5	U+30FB	->	# KATAKANA MIDDLE DOT
0x8EF6	U+30FB	->	# KATAKANA MIDDLE DOT
0x8EF7	U+30FB	->	# KATAKANA MIDDLE DOT
0x8EF8	U+30FB	->	# KATAKANA MIDDLE DOT
0x8EF9	U+30FB	->	# KATAKANA MIDDLE DOT
0x8EFA	U+30FB	->	# KATAKANA MIDDLE DOT
0x8EFB	U+30FB	->	# KATAKANA MIDDLE DOT
0x8EFC	U+30FB	->	# KATAKANA MIDDLE DOT
0x8EFD	U+30FB	->	# KATAKANA MIDDLE DOT
0x8EFE	U+30FB	->	# KATAKANA MIDDLE DOT
0x8F	U+008F	->	# <control>
0x90	U+0090	->	# <control>
0x91	U+0091	->	# <control>
0x92	U+0092	->	# <control>
0x93	U+0093	->	# <control>
0x94	U+0094	->	# <control>
0x95	U+0095	->	# <control>
0x96	U+0096	->	# <control>
0x97	U+0097	->	# <control>
0x98	U+0098	->	# <control>
0x99	U+0099	->	# <control>
0x9A	U+009A	->	# <control>
0x9B	U+009B	->	# <control>
0x9C	U+009C	->	# <control>
0x9D	U+009D	->	# <control>
0x9E	U+009E	->	# <control>
0x9F	U+009F	->	# <control>
0xA0	U+F8F0	->	# <private>
0xA1A1	U+3000		# IDEOGRAPHIC SPACE
0xA1A2	U+3001		# IDEOGRAPHIC COMMA
0xA1A3	U+3002		# IDEOGRAPHIC FULL STOP
0xA1A4	U+FF0C		# FULLWIDTH COMMA
0xA1A5	U+FF0E		# FULLWIDTH FULL STOP
0xA1A6	U+30FB		# KATAKANA MIDDLE DOT
0xA1A7	U+FF1A		# FULLWIDTH COLON
0xA1A8	U+FF1B		# FULLWIDTH SEMICOLON
0xA1A9	U+FF1F		# FULLWIDTH QUESTION MARK
0xA1AA	U+FF01		# FULLWIDTH EXCLAMATION MARK
0xA1AB	U+309B		# KATAKANA-HIRAGANA VOICED SOUND MARK
0xA1AC	U+309C		# KATAKANA-HIRAGANA SEMI-VOICED SOUND MARK
0xA1AD	U+00B4		# ACUTE ACCENT
0xA1AE	U+FF40		# FULLWIDTH GRAVE ACCENT
0xA1AF	U+00A8		# DIAERESIS
0xA1B0	U+FF3E		# FULLWIDTH CIRCUMFLEX ACCENT
0xA1B1	U+FFE3		# FULLWIDTH MACRON
0xA1B2	U+FF3F		# FULLWIDTH LOW LINE
0xA1B3	U+30FD		# KATAKANA ITERATION MARK
0xA1B4	U+30FE		# KATAKANA VOICED ITERATION MARK
0xA1B5	U+309D		# HIRAGANA ITERATION MARK
0xA1B6	U+309E		# HIRAGANA VOICED ITERATION MARK
0xA1B7	U+3003		# DITTO MARK
0xA1B8	U+4EDD		# <cjk>
0xA1B9	U+3005		# IDEOGRAPHIC ITERATION MARK
0xA1BA	U+3006		# IDEOGRAPHIC CLOSING MARK
0xA1BB	U+3007		# IDEOGRAPHIC NUMBER ZERO
0xA1BC	U+30FC		# KATAKANA-HIRAGANA PROLONGED SOUND MARK
0xA1BD	U+2015		# HORIZONTAL BAR
0xA1BE	U+2010		# HYPHEN
0xA1BF	U+FF0F		# FULLWIDTH SOLIDUS
0xA1C0	U+FF3C		# FULLWIDTH REVERSE SOLIDUS
0xA1C1	U+301C		# WAVE DASH
0xA1C2	U+2016		# DOUBLE VERTICAL LINE
0xA1C3	U+FF5C		# FULLWIDTH VERTICAL LINE
0xA1C4	U+2026		# HORIZONTAL ELLIPSIS
0xA1C5	U+2025		# TWO DOT LEADER
0xA1C6	U+2018		# LEFT SINGLE QUOTATION MARK
0xA1C7	U+2019		# RIGHT SINGLE QUOTATION MARK
0xA1C8	U+201C		# LEFT DOUBLE QUOTATION MARK
0xA1C9	U+201D		# RIGHT DOUBLE QUOTATION MARK
0xA1CA	U+FF08		# FULLWIDTH LEFT PARENTHESIS
0xA1CB	U+FF09		# FULLWIDTH RIGHT PARENTHESIS
0xA1CC	U+3014		# LEFT TORTOISE SHELL BRACKET
0xA1CD	U+3015		# RIGHT TORTOISE SHELL BRACKET
0xA1CE	U+FF3B		# FULLWIDTH LEFT SQUARE BRACKET
0xA1CF	U+FF3D		# FULLWIDTH RIGHT SQUARE BRACKET
0xA1D0	U+FF5B		# FULLWIDTH LEFT CURLY BRACKET
0xA1D1	U+FF5D		# FULLWIDTH RIGHT CURLY BRACKET
0xA1D2	U+3008		# LEFT ANGLE BRACKET
0xA1D3	U+3009		# RIGHT ANGLE BRACKET
0xA1D4	U+300A		# LEFT DOUBLE ANGLE BRACKET
0xA1D5	U+300B		# RIGHT DOUBLE ANGLE BRACKET
0xA1D6	U+300C		# LEFT CORNER BRACKET
0xA1D7	U+300D		# RIGHT CORNER BRACKET
0xA1D8	U+300E		# LEFT WHITE CORNER BRACKET
0xA1D9	U+300F		# RIGHT WHITE CORNER BRACKET
0xA1DA	U+3010		# LEFT BLACK LENTICULAR BRACKET
0xA1DB	U+3011		# RIGHT BLACK LENTICULAR BRACKET
0xA1DC	U+FF0B		# FULLWIDTH PLUS SIGN
0xA1DD	U+2212		# MINUS SIGN
0xA1DE	U+00B1		# PLUS-MINUS SIGN
0xA1DF	U+00D7		# MULTIPLICATION SIGN
0xA1E0	U+00F7		# DIVISION SIGN
0xA1E1	U+FF1D		# FULLWIDTH EQUALS SIGN
0xA1E2	U+2260		# NOT EQUAL TO
0xA1E3	U+FF1C		# FULLWIDTH LESS-THAN SIGN
0xA1E4	U+FF1E		# FULLWIDTH GREATER-THAN SIGN
0xA1E5	U+2266		# LESS-THAN OVER EQUAL TO
0xA1E6	U+2267		# GREATER-THAN OVER EQUAL TO
0xA1E7	U+221E		# INFINITY
0xA1E8	U+2234		# THEREFORE
0xA1E9	U+2642		# MALE SIGN
0xA1EA	U+2640		# FEMALE SIGN
0xA1EB	U+00B0		# DEGREE SIGN
0xA1EC	U+2032		# PRIME
0xA1ED	U+2033		# DOUBLE PRIME
0xA1EE	U+2103		# DEGREE CELSIUS
0xA1EF	U+FFE5		# FULLWIDTH YEN SIGN
0xA1F0	U+FF04		# FULLWIDTH DOLLAR SIGN
0xA1F1	U+00A2		# CENT SIGN
0xA1F2	U+00A3		# POUND SIGN
0xA1F3	U+FF05		# FULLWIDTH PERCENT SIGN
0xA1F4	U+FF03		# FULLWIDTH NUMBER SIGN
0xA1F5	U+FF06		# FULLWIDTH AMPERSAND
0xA1F6	U+FF0A		# FULLWIDTH ASTERISK
0xA1F7	U+FF20		# FULLWIDTH COMMERCIAL AT
0xA1F8	U+00A7		# SECTION SIGN
0xA1F9	U+2606		# WHITE STAR
0xA1FA	U+2605		# BLACK STAR
0xA1FB	U+25CB		# WHITE CIRCLE
0xA1FC	U+25CF		# BLACK CIRCLE
0xA1FD	U+25CE		# BULLSEYE
0xA1FE	U+25C7		# WHITE DIAMOND
0xA22F	U+02D8	<-	# BREVE
0xA230	U+02C7	<-	# CARON
0xA231	U+00B8	<-	# CEDILLA
0xA232	U+02D9	<-	# DOT ABOVE
0xA233	U+02DD	<-	# DOUBLE ACUTE ACCENT
0xA234	U+00AF	<-	# MACRON
0xA235	U+02DB	<-	# OGONEK
0xA236	U+02DA	<-	# RING ABOVE
0xA238	U+0384	<-	# GREEK TONOS
0xA239	U+0385	<-	# GREEK DIALYTIKA TONOS
0xA242	U+00A1	<-	# INVERTED EXCLAMATION MARK
0xA243	U+00A6	<-	# BROKEN BAR
0xA244	U+00BF	<-	# INVERTED QUESTION MARK
0xA26B	U+00BA	<-	# MASCULINE ORDINAL INDICATOR
0xA26C	U+00AA	<-	# FEMININE ORDINAL INDICATOR
0xA26D	U+00A9	<-	# COPYRIGHT SIGN
0xA26E	U+00AE	<-	# REGISTERED SIGN
0xA26F	U+2122	<-	# TRADE MARK SIGN
0xA270	U+00A4	<-	# CURRENCY SIGN
0xA2A1	U+25C6		# BLACK DIAMOND
0xA2A2	U+25A1		# WHITE SQUARE
0xA2A3	U+25A0		# BLACK SQUARE
0xA2A4	U+25B3		# WHITE UP-POINTING TRIANGLE
0xA2A5	U+25B2		# BLACK UP-POINTING TRIANGLE
0xA2A6	U+25BD		# WHITE DOWN-POINTING TRIANGLE
0xA2A7	U+25BC		# BLACK DOWN-POINTING TRIANGLE
0xA2A8	U+203B		# REFERENCE MARK
0xA2A9	U+3012		# POSTAL MARK
0xA2AA	U+2192		# RIGHTWARDS ARROW
0xA2AB	U+2190		# LEFTWARDS ARROW
0xA2AC	U+2191		# UPWARDS ARROW
0xA2AD	U+2193		# DOWNWARDS ARROW
0xA2AE	U+3013		# GETA MARK
0xA2AF	U+30FB	->	# KATAKANA MIDDLE DOT
0xA2B0	U+30FB	->	# KATAKANA MIDDLE DOT
0xA2B1	U+30FB	->	# KATAKANA MIDDLE DOT
0xA2B2	U+30FB	->	# KATAKANA MIDDLE DOT
0xA2B3	U+30FB	->	# KATAKANA MIDDLE DOT
0xA2B4	U+30FB	->	# KATAKANA MIDDLE DOT
0xA2B5	U+30FB	->	# KATAKANA MIDDLE DOT
0xA2B6	U+30FB	->	# KATAKANA MIDDLE DOT
0xA2B7	U+30FB	->	# KATAKANA MIDDLE DOT
0xA2B8	U+30FB	->	# KATAKANA MIDDLE DOT
0xA2B9	U+30FB	->	# KATAKANA MIDDLE DOT
0xA2BA	U+2208		# ELEMENT OF
0xA2BB	U+220B		# CONTAINS AS MEMBER
0xA2BC	U+2286		# SUBSET OF OR EQUAL TO
0xA2BD	U+2287		# SUPERSET OF OR EQUAL TO
0xA2BE	U+2282		# SUBSET OF
0xA2BF	U+2283		# SUPERSET OF
0xA2C0	U+222A		# UNION
0xA2C1	U+2229		# INTERSECTION
0xA2C2	U+30FB	->	# KATAKANA MIDDLE DOT
0xA2C3	U+30FB	->	# KATAKANA MIDDLE DOT
0xA2C4	U+30FB	->	# KATAKANA MIDDLE DOT
0xA2C5	U+30FB	->	# KATAKANA MIDDLE DOT
0xA2C6	U+30FB	->	# KATAKANA MIDDLE DOT
0xA2C7	U+30FB	->	# KATAKANA MIDDLE DOT
0xA2C8	U+30FB	->	# KATAKANA MIDDLE DOT
0xA2C9	U+30FB	->	# KATAKANA MIDDLE DOT
0xA2CA	U+2227		# LOGICAL AND
0xA2CB	U+2228		# LOGICAL OR
0xA2CC	U+00AC		# NOT SIGN
0xA2CD	U+21D2		# RIGHTWARDS DOUBLE ARROW
0xA2CE	U+21D4		# LEFT RIGHT DOUBLE ARROW
0xA2CF	U+2200		# FOR ALL
0xA2D0	U+2203		# THERE EXISTS
0xA2D1	U+30FB	->	# KATAKANA MIDDLE DOT
0xA2D2	U+30FB	->	# KATAKANA MIDDLE DOT
0xA2D3	U+30FB	->	# KATAKANA MIDDLE DOT
0xA2D4	U+30FB	->	# KATAKANA MIDDLE DOT
0xA2D5	U+30FB	->	# KATAKANA MIDDLE DOT
0xA2D6	U+30FB	->	# KATAKANA MIDDLE DOT
0xA2D7	U+30FB	->	# KATAKANA MIDDLE DOT
0xA2D8	U+30FB	->	# KATAKANA MIDDLE DOT
0xA2D9	U+30FB	->	# KATAKANA MIDDLE DOT
0xA2DA	U+30FB	->	# KATAKANA MIDDLE DOT
0xA2DB	U+30FB	->	# KATAKANA MIDDLE DOT
0xA2DC	U+2220		# ANGLE
0xA2DD	U+22A5		# UP TACK
0xA2DE	U+2312		# ARC
0xA2DF	U+2202		# PARTIAL DIFFERENTIAL
0xA2E0	U+2207		# NABLA
0xA2E1	U+2261		# IDENTICAL TO
0xA2E2	U+2252		# APPROXIMATELY EQUAL TO OR THE IMAGE OF
0xA2E3	U+226A		# MUCH LESS-THAN
0xA2E4	U+226B		# MUCH GREATER-THAN
0xA2E5	U+221A		# SQUARE ROOT
0xA2E6	U+223D		# REVERSED TILDE
0xA2E7	U+221D		# PROPORTIONAL TO
0xA2E8	U+2235		# BECAUSE
0xA2E9	U+222B		# INTEGRAL
0xA2EA	U+222C		# DOUBLE INTEGRAL
0xA2EB	U+30FB	->	# KATAKANA MIDDLE DOT
0xA2EC	U+30FB	->	# KATAKANA MIDDLE DOT
0xA2ED	U+30FB	->	# KATAKANA MIDDLE DOT
0xA2EE	U+30FB	->	# KATAKANA MIDDLE DOT
0xA2EF	U+30FB	->	# KATAKANA MIDDLE DOT
0xA2F0	U+30FB	->	# KATAKANA MIDDLE DOT
0xA2F1	U+30FB	->	# KATAKANA MIDDLE DOT
0xA2F2	U+212B		# ANGSTROM SIGN
0xA2F3	U+2030		# PER MILLE SIGN
0xA2F4	U+266F		# MUSIC SHARP SIGN
0xA2F5	U+266D		# MUSIC FLAT SIGN
0xA2F6	U+266A		# EIGHTH NOTE
0xA2F7	U+2020		# DAGGER
0xA2F8	U+2021		# DOUBLE DAGGER
0xA2F9	U+00B6		# PILCROW SIGN
0xA2FA	U+30FB	->	# KATAKANA MIDDLE DOT
0xA2FB	U+30FB	->	# KATAKANA MIDDLE DOT
0xA2FC	U+30FB	->	# KATAKANA MIDDLE DOT
0xA2FD	U+30FB	->	# KATAKANA MIDDLE DOT
0xA2FE	U+25EF		# LARGE CIRCLE
0xA3A1	U+30FB	->	# KATAKANA MIDDLE DOT
0xA3A2	U+30FB	->	# KATAKANA MIDDLE DOT
0xA3A3	U+30FB	->	# KATAKANA MIDDLE DOT
0xA3A4	U+30FB	->	# KATAKANA MIDDLE DOT
0xA3A5	U+30FB	->	# KATAKANA MIDDLE DOT
0xA3A6	U+30FB	->	# KATAKANA MIDDLE DOT
0xA3A7	U+30FB	->	# KATAKANA MIDDLE DOT
0xA3A8	U+30FB	->	# KATAKANA MIDDLE DOT
0xA3A9	U+30FB	->	# KATAKANA MIDDLE DOT
0xA3AA	U+30FB	->	# KATAKANA MIDDLE DOT
0xA3AB	U+30FB	->	# KATAKANA MIDDLE DOT
0xA3AC	U+30FB	->	# KATAKANA MIDDLE DOT
0xA3AD	U+30FB	->	# KATAKANA MIDDLE DOT
0xA3AE	U+30FB	->	# KATAKANA MIDDLE DOT
0xA3AF	U+30FB	->	# KATAKANA MIDDLE DOT
0xA3B0	U+FF10		# FULLWIDTH DIGIT ZERO
0xA3B1	U+FF11		# FULLWIDTH DIGIT ONE
0xA3B2	U+FF12		# FULLWIDTH DIGIT TWO
0xA3B3	U+FF13		# FULLWIDTH DIGIT THREE
0xA3B4	U+FF14		# FULLWIDTH DIGIT FOUR
0xA3B5	U+FF15		# FULLWIDTH DIGIT FIVE
0xA3B6	U+FF16		# FULLWIDTH DIGIT SIX
0xA3B7	U+FF17		# FULLWIDTH DIGIT SEVEN
0xA3B8	U+FF18		# FULLWIDTH DIGIT EIGHT
0xA3B9	U+FF19		# FULLWIDTH DIGIT NINE
0xA3BA	U+30FB	->	# KATAKANA MIDDLE DOT
0xA3BB	U+30FB	->	# KATAKANA MIDDLE DOT
0xA3BC	U+30FB	->	# KATAKANA MIDDLE DOT
0xA3BD	U+30FB	->	# KATAKANA MIDDLE DOT
0xA3BE	U+30FB	->	# KATAKANA MIDDLE DOT
0xA3BF	U+30FB	->	# KATAKANA MIDDLE DOT
0xA3C0	U+30FB	->	# KATAKANA MIDDLE DOT
0xA3C1	U+FF21		# FULLWIDTH LATIN CAPITAL LETTER A
0xA3C2	U+FF22		# FULLWIDTH LATIN CAPITAL LETTER B
0xA3C3	U+FF23		# FULLWIDTH LATIN CAPITAL LETTER C
0xA3C4	U+FF24		# FULLWIDTH LATIN CAPITAL LETTER D
0xA3C5	U+FF25		# FULLWIDTH LATIN CAPITAL LETTER E
0xA3C6	U+FF26		# FULLWIDTH LATIN CAPITAL LETTER F
0xA3C7	U+FF27		# FULLWIDTH LATIN CAPITAL LETTER G
